Column1,Column2
Source,Reference
"We're at a tipping point in human history, a species poised between gaining the stars and losing the planet we call home.",我们身处人类历史的转折点上， 人类处在想获得其他星球， 同时也在失去地球家园的尴尬境地。
"Even in just the past few years, we've greatly expanded our knowledge of how Earth fits within the context of our universe.",即使是在过去短短几年的时间里， 我们对地球 是如何在宇宙中存在的认识 已经有了大幅度的提升。
"NASA's Kepler mission has discovered thousands of potential planets around other stars, indicating that Earth is but one of billions of planets in our galaxy.",美国国家航空航天局的 开普勒任务已经发现了 围绕着其他恒星的数千颗 潜在的行星， 这也表明了地球只是银河系中 数十亿行星中的一颗。
"Kepler is a space telescope that measures the subtle dimming of stars as planets pass in front of them, blocking just a little bit of that light from reaching us.",开普勒是个太空望远镜， 它可以发现行星在经过恒星前方 发生“凌日现象”， 挡住到达我们这里的光时， 光线发生的细微变化。
Kepler's data reveals planets' sizes as well as their distance from their parent star.,开普勒望远镜的数据 揭示了行星的大小， 以及它们与其母恒星之间的距离。
"Together, this helps us understand whether these planets are small and rocky, like the terrestrial planets in our own Solar System, and also how much light they receive from their parent sun.",把这些综合起来就可以帮助我们理解 这些行星是否像太阳系中 那些类地行星一样， 体积小，而且岩石密布， 以及我们从它们的母恒星那里 得到了多少光。
"In turn, this provides clues as to whether these planets that we discover might be habitable or not.",同时，这也能为我们判断 已找到的那些行星是否适宜居住 提供了一些线索。
"Unfortunately, at the same time as we're discovering this treasure trove of potentially habitable worlds, our own planet is sagging under the weight of humanity.",但不幸的是，在我们极力去探索 潜在的宜居星球， 这些“无主宝藏”的同时， 我们自己的星球却正遭受着 人类的破坏。
2014 was the hottest year on record.,2014年是有记录以来最热的一年。
Glaciers and sea ice that have been with us for millennia are now disappearing in a matter of decades.,冰川和海上的浮冰 跟我们一起相处了几千年， 但在过去几十年的时间里却 正在逐渐消失。
These planetary-scale environmental changes that we have set in motion are rapidly outpacing our ability to alter their course.,这些我们所造成的 全球性环境变化的速度， 远远超过了我们拯救环境的速度。
"But I'm not a climate scientist, I'm an astronomer.",但我不是气候学家， 我是个天文学家。
I study planetary habitability as influenced by stars with the hopes of finding the places in the universe where we might discover life beyond our own planet.,我研究在恒星影响下 行星的宜居性， 希望可以在宇宙中找到 除地球以外，有生命存在的地方。
You could say that I look for choice alien real estate.,也可以说我是在寻找外星的房地产。
"Now, as somebody who is deeply embedded in the search for life in the universe, I can tell you that the more you look for planets like Earth, the more you appreciate our own planet itself.",现在，作为一个刻苦钻研，想要 找寻宇宙中的生命体的人， 我可以告诉大家，你越想找到 像地球一样的行星， 你就会越珍惜我们自己的星球。
Each one of these new worlds invites a comparison between the newly discovered planet and the planets we know best: those of our own Solar System.,我们每发现一处“新大陆”， 就会对这些新发现的星球 和那些太阳系中我们最熟悉的行星 做一个比较。
"Consider our neighbor, Mars.",想想我们的邻居，火星。
"Mars is small and rocky, and though it's a bit far from the Sun, if found by a mission like Kepler.",火星很小，表面布满岩石， 虽然它离太阳有点远， 但如果从类似 开普勒任务的角度来看，
"Indeed, it's possible that Mars was habitable in the past, and in part, this is why we study Mars so much.",可能会认为它是个宜居的世界。 事实上，火星在过去 的确有可能是适宜居住的， 这也是我们为什么对火星 投入这么多研究精力的一部分原因。
"Our rovers, like Curiosity, crawl across its surface, scratching for clues as to the origins of life as we know it.",我们的那些火星车，比如好奇者号， 爬过火星的表面， 寻找我们所知的生命起源的迹象。
"Orbiters like the MAVEN mission sample the Martian atmosphere, trying to understand how Mars might have lost its past habitability.",进行“火星大气与挥发物演化任务” 的人造卫星采集了火星的大气样本， 试着了解火星是如何 失去曾经的可居住性的。
Private spaceflight companies now offer not just a short trip to near space but the tantalizing possibility of living our lives on Mars.,私人太空旅行公司现在不仅仅 提供近太空的短程旅行， 还提供了可以在火星上 居住的诱人的可能性。
"But though these Martian vistas resemble the deserts of our own home world, places that are tied in our imagination to ideas about pioneering and frontiers, compared to Earth Mars is a pretty terrible place to live.",尽管火星上的这些远景看起来 很像我们地球上的沙漠， 那些一提到就会联想起 拓荒者、边境等等的地方， 但与地球相比， 火星上的环境对于生命体来说 简直太恶劣了。
"Consider the extent to which we have not colonized the deserts of our own planet, places that are lush by comparison with Mars.",想想那些我们还没有征服的 地球上的沙漠， 相较于火星来说， 沙漠可都算是“枝繁叶茂”了，
"Even in the driest, highest places on Earth, the air is sweet and thick with oxygen exhaled from thousands of miles away by our rainforests.",即使在地球上最干燥 海拔最高的地方， 我们仍然能呼吸到数千英里外 那些热带雨林生产出的新鲜的、 富含氧气的空气。
"I worry -- I worry that this excitement about colonizing Mars and other planets carries with it a long, dark shadow: the implication and belief by some that Mars will be there to save us from the self-inflicted destruction of the only truly habitable planet we know of, the Earth.",我担心——我担心殖民于 火星和其他行星的激动之情 会带来深远的负面影响： 源于一些人的心理暗示和信仰—— 认为火星将会是我们自己把 唯一真正宜居的行星，地球
"As much as I love interplanetary exploration, I deeply disagree with this idea.",这么说吧，我有多爱星际探索， 我就有多反对这种想法。
